59, 
"SOURCEBUS.1", 20183.44652  , +j -73020.92003 ,1840.488481  , +j 713.8247913  ,1840.488481  , +j 713.8247913  ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,-60.33575877 , +j 6033.575877  ,60.33575877  , +j -6033.575877 ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,
"SOURCEBUS.2", 1840.488481  , +j 713.8247913  ,20183.44652  , +j -73020.92003 ,1840.488481  , +j 713.8247913  ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,-60.33575877 , +j 6033.575877  ,60.33575877  , +j -6033.575877 ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,
"SOURCEBUS.3", 1840.488481  , +j 713.8247913  ,1840.488481  , +j 713.8247913  ,20183.44652  , +j -73020.92003 ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,60.33575877  , +j -6033.575877 ,0            , +j 0            ,-60.33575877 , +j 6033.575877  ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,
"REG.1", 0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,264.1236063  , +j -2633.087399 ,-0.4858024585, +j 1.21976527   ,-0.2657818325, +j 0.9122307135 ,-1.144889902 , +j 3.300236087  ,0.4858024585 , +j -1.219765648 ,0.2657818325 , +j -0.912230952 ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,-274.4840352 , +j 2744.840352  ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,
"REG.2", 0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,-0.4858024585, +j 1.21976527   ,270.3951394  , +j -2697.053333 ,-0.12629796  , +j 0.6970062041 ,0.4858024585 , +j -1.219765648 ,-1.002543613 , +j 3.127375988  ,0.12629796   , +j -0.6970063446,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,-277.8111144 , +j 2778.111144  ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,
"REG.3", 0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,-0.2657818325, +j 0.9122307135 ,-0.12629796  , +j 0.6970062041 ,263.865124   , +j -2632.737994 ,0.2657818325 , +j -0.912230952 ,0.12629796   , +j -0.6970063446,-0.8864076313, +j 2.950831407  ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,-274.4840352 , +j 2744.840352  ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,
"632.1", 0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,-1.144889902 , +j 3.300236087  ,0.4858024585 , +j -1.219765648 ,0.2657818325 , +j -0.912230952 ,10.14170202  , +j -20.33007854 ,-3.437267689 , +j 6.383477186  ,-3.201731689 , +j 5.337035603  ,-3.432953231 , +j 9.89576038   ,1.456679036  , +j -3.657468211 ,0.796947024  , +j -2.735325193 ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,-5.563858886 , +j 7.134083932  ,1.494786195  , +j -1.506243882 ,2.139002832  , +j -1.689479855 ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,
"632.2", 0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0.4858024585 , +j -1.219765648 ,-1.002543613 , +j 3.127375988  ,0.12629796   , +j -0.6970063446,-3.437267689 , +j 6.383477186  ,13.22260287  , +j -23.57331927 ,-3.038374189 , +j 4.769114187  ,1.456679036  , +j -3.657468211 ,-3.006127775 , +j 9.377439244  ,0.3787045276 , +j -2.089974047 ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,1.494786195  , +j -1.506243882 ,-4.908597251 , +j 7.063414789  ,1.088491509  , +j -1.382561877 ,1.444880192  , +j -0.5995721797,-4.305334232 , +j 4.005091223  ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,
"632.3", 0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0.2657818325 , +j -0.912230952 ,0.12629796   , +j -0.6970063446,-0.8864076313, +j 2.950831407  ,-3.201731689 , +j 5.337035603  ,-3.038374189 , +j 4.769114187  ,13.06888351  , +j -22.8705632  ,0.796947024  , +j -2.735325193 ,0.3787045276 , +j -2.089974047 ,-2.657893947 , +j 8.848070185  ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,2.139002832  , +j -1.689479855 ,1.088491509  , +j -1.382561877 ,-5.189277623 , +j 7.084966432  ,-4.335304313 , +j 3.986697081  ,1.444880192  , +j -0.5995721797,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,
"670.1", 0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,-3.432953231 , +j 9.89576038   ,1.456679036  , +j -3.657468211 ,0.796947024  , +j -2.735325193 ,5.153668914  , +j -14.84908733 ,-2.185564945 , +j 5.487573832  ,-1.195719466 , +j 4.104013555  ,-1.717764295 , +j 4.951592028  ,0.7288859093 , +j -1.830105999 ,0.3987724419 , +j -1.3686886   ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,
"670.2", 0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,1.456679036  , +j -3.657468211 ,-3.006127775 , +j 9.377439244  ,0.3787045276 , +j -2.089974047 ,-2.185564945 , +j 5.487573832  ,4.521777576  , +j -14.07627238 ,-0.5681988412, +j 3.135744866  ,0.7288859093 , +j -1.830105999 ,-1.504191467 , +j 4.692237041  ,0.1894943135 , +j -1.04577096  ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,0            , +j 0            ,
